number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_min_samples_leaf,params_n_estimators,state
0,0.7850444422146401,2026-06-15 16:38:38.093886,2026-06-15 16:38:43.451133,0 days 00:00:05.357247,32,sqrt,4,500,COMPLETE
1,0.7271039631789326,2026-06-15 16:38:43.451449,2026-06-15 16:38:48.708084,0 days 00:00:05.256635,10,log2,10,800,COMPLETE
2,0.7685155464694242,2026-06-15 16:38:48.708249,2026-06-15 16:38:56.832421,0 days 00:00:08.124172,14,log2,7,1100,COMPLETE
3,0.7715737447499389,2026-06-15 16:38:56.832583,2026-06-15 16:38:59.210434,0 days 00:00:02.377851,48,log2,10,300,COMPLETE
4,0.6323550759345102,2026-06-15 16:38:59.210590,2026-06-15 16:39:03.601982,0 days 00:00:04.391392,7,log2,10,800,COMPLETE
5,0.771877275827886,2026-06-15 16:39:03.602133,2026-06-15 16:39:08.145709,0 days 00:00:04.543576,23,log2,10,600,COMPLETE
6,0.7854654742346401,2026-06-15 16:39:08.145860,2026-06-15 16:39:13.282344,0 days 00:00:05.136484,20,sqrt,4,500,COMPLETE
7,0.7727620069016831,2026-06-15 16:39:13.282506,2026-06-15 16:39:54.183971,0 days 00:00:40.901465,38,,6,600,COMPLETE
8,0.7787828299718499,2026-06-15 16:39:54.184126,2026-06-15 16:40:43.392530,0 days 00:00:49.208404,16,,3,700,COMPLETE
9,0.7702006503909166,2026-06-15 16:40:43.392694,2026-06-15 16:40:51.489525,0 days 00:00:08.096831,17,log2,10,1100,COMPLETE
10,0.7899077079223364,2026-06-15 16:40:51.489691,2026-06-15 16:40:54.864230,0 days 00:00:03.374539,27,sqrt,1,300,COMPLETE
11,0.7899077079223364,2026-06-15 16:40:54.864387,2026-06-15 16:40:58.232664,0 days 00:00:03.368277,27,sqrt,1,300,COMPLETE
12,0.7909696400158404,2026-06-15 16:40:58.232824,2026-06-15 16:41:01.627529,0 days 00:00:03.394705,29,sqrt,1,300,COMPLETE
13,0.7906938440450203,2026-06-15 16:41:01.627709,2026-06-15 16:41:05.046069,0 days 00:00:03.418360,38,sqrt,1,300,COMPLETE
14,0.7884985595791212,2026-06-15 16:41:05.046227,2026-06-15 16:41:09.575135,0 days 00:00:04.528908,46,sqrt,2,400,COMPLETE
15,0.7884985595791212,2026-06-15 16:41:09.575291,2026-06-15 16:41:13.902089,0 days 00:00:04.326798,38,sqrt,2,400,COMPLETE
16,0.7903118790504093,2026-06-15 16:41:13.902256,2026-06-15 16:41:18.339404,0 days 00:00:04.437148,40,sqrt,1,400,COMPLETE
17,0.7897010986581285,2026-06-15 16:41:18.339559,2026-06-15 16:41:23.614580,0 days 00:00:05.275021,32,sqrt,3,500,COMPLETE
18,0.7750249327279466,2026-06-15 16:41:23.614752,2026-06-15 16:41:44.999511,0 days 00:00:21.384759,42,,5,300,COMPLETE
19,0.7895016049196428,2026-06-15 16:41:44.999664,2026-06-15 16:41:57.485436,0 days 00:00:12.485772,33,sqrt,2,1200,COMPLETE
