feature,importance
f006,0.02896197421240464
f001,0.025730028618818013
f000,0.024913132536151048
f007,0.024594312637385676
f003,0.02430686111502211
f009,0.022553525715317782
f004,0.022542310791184884
f005,0.022352354060477177
f002,0.021048212753859933
f062,0.020404282904146497
f008,0.02030912881230911
f015,0.019745130747635762
f011,0.01941732364171689
f063,0.01896207496871093
f032,0.018814532967561717
f010,0.01749036929860767
f021,0.017133163967231146
f033,0.016925180907476665
f012,0.016870834795774618
f031,0.016732650405604323
f019,0.01659954436757602
f020,0.016530782614228242
f018,0.016210184446865877
f051,0.016196347412228067
f061,0.015580708162752858
f044,0.01543338461994776
f050,0.015298673056644185
f047,0.015278617585520116
f028,0.015222427746674412
f043,0.015040943606604762
f014,0.015011282693627531
f027,0.01474399835180127
f042,0.01437399346677188
f013,0.014275622956916648
f034,0.014207262378420063
f016,0.014126185210253927
f024,0.014054549300203386
f046,0.013997105179235173
f048,0.013957441083237616
f054,0.013950488728045338
f049,0.013859712776732484
f045,0.013758464484614718
f017,0.013732005940714661
f022,0.01341377763809474
f023,0.013277632162152385
f041,0.012945639125594158
f029,0.012902669113795054
f052,0.012730659408948804
f026,0.012691669449828446
f039,0.012506740408648465
f025,0.012228182861984144
f053,0.012029616294750661
f030,0.012022866698069118
f035,0.011987882222278033
f055,0.0117744142254659
f040,0.010988629321668067
f059,0.010654999912330446
f060,0.01056167966529826
f056,0.010078796761128564
f058,0.00964802059921359
f037,0.009557923918931531
f057,0.009435678312365183
f038,0.008824507810370802
f036,0.008490902062070291
