,Ink,Pencil,Pigment,Substrate
f000,0.39316537561227477,0.47731542255442877,0.6906019187625497,0.6156631361233059
f001,0.39638950257120714,0.49798651174713787,0.7045605643186719,0.6287829697597772
f002,0.40410864871297786,0.536783579861602,0.7380340957455337,0.656257943518761
f003,0.4146392035786185,0.5844666987027113,0.7752037059515715,0.6883984142967394
f004,0.41754722483613455,0.6002266141858238,0.7824324222914875,0.6971028595078111
f005,0.4201804381180564,0.6098467740330559,0.784763352021575,0.7017283468557421
f006,0.4226823762990534,0.6174968982387621,0.7851095167584717,0.7052139354345506
f007,0.4252957653061219,0.6237104587299892,0.7847789275161922,0.7082057624126779
f008,0.42868573795089365,0.6307398641926165,0.7856163917966187,0.7122134473754795
f009,0.4323595429306111,0.6378039819030807,0.7870966626182199,0.7164995459226255
f010,0.4359320925247521,0.6443926077422041,0.7883281456790865,0.7207606035797762
f011,0.4395026264143622,0.650783419600473,0.7896574418675154,0.7250318955434877
f012,0.4428710779344841,0.6569400584898316,0.7908297586794942,0.7289939761635831
f013,0.4459506230656926,0.6628949176520109,0.7918151569459587,0.7326702627933356
f014,0.4483463969221878,0.6665959884656163,0.7915438049603254,0.7351029548771724
f015,0.4514227553556851,0.6713471523385781,0.7927874779645353,0.7383770110470405
f016,0.4544424729787162,0.6752883603165929,0.7939611358661205,0.7414798452089468
f017,0.45721862287769405,0.6788328699824902,0.7950366961304098,0.7443100512195044
f018,0.4596118645588364,0.6799582147082457,0.7956616069115698,0.7463635079752274
f019,0.4615193645138578,0.6774650759651111,0.7954048418384045,0.7474788184327904
f020,0.46280554457946094,0.67644568163615,0.7941371856331825,0.747416683507269
f021,0.46418254953601423,0.6742227445027003,0.7932929042782635,0.7475266087794687
f022,0.46510552592734217,0.6721668306193672,0.7912626123409718,0.7466004509568036
f023,0.46552370815352684,0.6721586227932802,0.7875106215570122,0.744436915861833
f024,0.4677333658121519,0.6773698193207384,0.787128676213324,0.7452072981895578
f025,0.47012819887748397,0.6832732012839271,0.7875405757576227,0.7460991413371559
f026,0.472947787167909,0.6881123964259258,0.7893736200649292,0.7470889086957776
f027,0.47588338944537323,0.6928549114184884,0.7911265161260963,0.7487880940956181
f028,0.47818508127580206,0.6952655461688454,0.7917624499667436,0.7496308418213875
f029,0.48032339823656556,0.6965265946577375,0.7924694941975177,0.7504110189210512
f030,0.4827758424666811,0.6983142738531415,0.7939901524111629,0.7518127970564776
f031,0.4854866600352246,0.700539228340181,0.7958693015016616,0.753770683334393
f032,0.4872943237979454,0.7009105459113534,0.7960507531054318,0.7543623924233064
f033,0.48929439163703875,0.7012910950527741,0.7966799723953009,0.754867884307029
f034,0.49031971371413524,0.698943359304506,0.795130451567471,0.7533973724731874
f035,0.4909762740579953,0.6958315997341504,0.7933913081996142,0.7512461038574041
f036,0.48868180120138643,0.6883509980056148,0.7863403568565845,0.7447533516235605
f037,0.48804431144050575,0.6839004232003711,0.782317177683115,0.740349805079579
f038,0.4881378919535683,0.6785633217256802,0.7799481049664319,0.7385158629296069
f039,0.48784662197100387,0.6676303250672152,0.7770402305535972,0.7360554493885644
f040,0.4841007186527792,0.6548016838715054,0.766561453409493,0.7261307932893762
f041,0.47662430258277216,0.6400755303883209,0.7493485913574696,0.709892646401206
f042,0.4708709840925049,0.6304544928698586,0.7362450180649758,0.6971546700715037
f043,0.46935795077350184,0.6262930839078931,0.7307038286142051,0.6908990188864266
f044,0.4672890772215094,0.6230516040482773,0.7229347520172597,0.683719052897465
f045,0.4648023770155491,0.6214144920113568,0.7136804278865456,0.6756114512431006
f046,0.4635855440276227,0.6190774473189734,0.7075778469890356,0.670119310537922
f047,0.46533413902428505,0.618784493335451,0.7076361858807504,0.6699817510104242
f048,0.46848181058559657,0.620620086453855,0.7110573953427375,0.6726566130613273
f049,0.47117238147844986,0.6228238419042184,0.7128457778431475,0.6744520455754981
f050,0.4730276585107536,0.6287015832616732,0.7119779865965247,0.6741110933911122
f051,0.47483611237554374,0.6343027221067594,0.7123900291696191,0.6740274341124484
f052,0.47724501827707455,0.6347357094803682,0.7145958354733885,0.6755271712502097
f053,0.4792776169269984,0.6373662342646947,0.7154709518365562,0.6761290662035256
f054,0.48155558605039667,0.6408359899214254,0.7163906667754054,0.6767533479258419
f055,0.48605424605930697,0.6453616368226134,0.7229174487888813,0.6818636561654686
f056,0.4916622636916833,0.6502449654100033,0.73205117258057,0.6895866328794621
f057,0.496554897155619,0.6535545905865728,0.7398608867935836,0.6962856771803634
f058,0.5001879673067104,0.6548372271642662,0.7451543493680656,0.7009264643644234
f059,0.5028959653936852,0.6549780995370104,0.7486402229145169,0.7042185337394253
f060,0.5037604210688373,0.6508372976845846,0.7489614152386784,0.7049680353253857
f061,0.5008999395542679,0.6354217063406339,0.7427766132205724,0.7010715412572696
f062,0.4942407454477889,0.613875650972701,0.7298511899374426,0.6913698304489165
f063,0.4818670869754454,0.5951523519923481,0.7042874030433596,0.6729267206366458
